-0.857 -0.875
-0.848 -0.883
-0.839 -0.891
-0.829 -0.899
-0.819 -0.906
-0.809 -0.914
-0.799 -0.921
-0.788 -0.927
-0.777 -0.934
-0.766 -0.940
-0.755 -0.946
-0.743 -0.951
-0.731 -0.956
-0.719 -0.961
-0.707 -0.966
-0.695 -0.970
-0.682 -0.974
-0.669 -0.978
-0.656 -0.982
-0.643 -0.985
-0.629 -0.988
-0.616 -0.990
-0.602 -0.993
-0.588 -0.995
-0.574 -0.996
-0.559 -0.998
-0.545 -0.999
-0.530 -0.999
-0.515 -1.000
-0.500 -1.000
-0.485 -1.000
-0.469 -0.999
-0.454 -0.999
-0.438 -0.998
-0.423 -0.996
-0.407 -0.995
-0.391 -0.993
-0.375 -0.990
-0.358 -0.988
-0.342 -0.985
-0.326 -0.982
-0.309 -0.978
-0.292 -0.974
-0.276 -0.970
-0.259 -0.966
-0.242 -0.961
-0.225 -0.956
-0.208 -0.951
-0.191 -0.946
-0.174 -0.940
-0.156 -0.934
-0.139 -0.927
-0.122 -0.921
-0.105 -0.914
-0.087 -0.906
-0.070 -0.899
-0.052 -0.891
-0.035 -0.883
-0.017 -0.875
-0.000 -0.866
 0.017 -0.857
 0.035 -0.848
 0.052 -0.839
 0.070 -0.829
 0.087 -0.819
 0.105 -0.809
 0.122 -0.799
 0.139 -0.788
 0.156 -0.777
 0.174 -0.766
 0.191 -0.755
 0.208 -0.743
 0.225 -0.731
 0.242 -0.719
 0.259 -0.707
 0.276 -0.695
 0.292 -0.682
 0.309 -0.669
 0.326 -0.656
 0.342 -0.643
 0.358 -0.629
 0.375 -0.616
 0.391 -0.602
 0.407 -0.588
 0.423 -0.574
 0.438 -0.559
 0.454 -0.545
 0.469 -0.530
 0.485 -0.515
 0.500 -0.500
 0.515 -0.485
 0.530 -0.469
 0.545 -0.454
 0.559 -0.438
 0.574 -0.423
 0.588 -0.407
 0.602 -0.391
 0.616 -0.375
 0.629 -0.358
 0.643 -0.342
 0.656 -0.326
 0.669 -0.309
 0.682 -0.292
 0.695 -0.276
 0.707 -0.259
 0.719 -0.242
 0.731 -0.225
 0.743 -0.208
 0.755 -0.191
 0.766 -0.174
 0.777 -0.156
 0.788 -0.139
 0.799 -0.122
 0.809 -0.105
 0.819 -0.087
 0.829 -0.070
 0.839 -0.052
 0.848 -0.035
 0.857 -0.017
 0.866  0.000
 0.875  0.017
 0.883  0.035
 0.891  0.052
 0.899  0.070
 0.906  0.087
 0.914  0.105
 0.921  0.122
 0.927  0.139
 0.934  0.156
 0.940  0.174
 0.946  0.191
 0.951  0.208
 0.956  0.225
 0.961  0.242
 0.966  0.259
 0.970  0.276
 0.974  0.292
 0.978  0.309
 0.982  0.326
 0.985  0.342
 0.988  0.358
 0.990  0.375
 0.993  0.391
 0.995  0.407
 0.996  0.423
 0.998  0.438
 0.999  0.454
 0.999  0.469
 1.000  0.485
 1.000  0.500
