  10.716 -0.857  11.232 -1.713  11.747 -2.570  12.263 -3.427  12.779 -4.284
  10.722 -0.853  11.245 -1.705  11.767 -2.558  12.290 -3.411  12.812 -4.263
  10.729 -0.849  11.258 -1.697  11.788 -2.546  12.317 -3.394  12.846 -4.243
  10.736 -0.844  11.272 -1.689  11.807 -2.533  12.343 -3.377  12.879 -4.222
  10.742 -0.840  11.285 -1.680  11.827 -2.520  12.370 -3.360  12.912 -4.200
  10.749 -0.836  11.298 -1.672  11.847 -2.507  12.396 -3.343  12.945 -4.179
  10.756 -0.831  11.311 -1.663  11.867 -2.494  12.422 -3.326  12.978 -4.157
  10.762 -0.827  11.324 -1.654  11.886 -2.481  12.448 -3.308  13.010 -4.135
  10.769 -0.823  11.337 -1.645  11.906 -2.468  12.474 -3.291  13.043 -4.113
  10.775 -0.818  11.350 -1.636  11.925 -2.454  12.500 -3.273  13.075 -4.091
  10.781 -0.814  11.363 -1.627  11.944 -2.441  12.526 -3.254  13.107 -4.068
  10.788 -0.809  11.376 -1.618  11.963 -2.427  12.551 -3.236  13.139 -4.045
  10.794 -0.804  11.388 -1.609  11.982 -2.413  12.576 -3.218  13.171 -4.022
  10.800 -0.800  11.401 -1.599  12.001 -2.399  12.602 -3.199  13.202 -3.998
  10.807 -0.795  11.413 -1.590  12.020 -2.385  12.627 -3.180  13.233 -3.975
  10.813 -0.790  11.426 -1.580  12.039 -2.370  12.652 -3.161  13.265 -3.951
  10.819 -0.785  11.438 -1.571  12.057 -2.356  12.676 -3.141  13.295 -3.927
  10.825 -0.780  11.450 -1.561  12.076 -2.341  12.701 -3.122  13.326 -3.902
  10.831 -0.775  11.463 -1.551  12.094 -2.326  12.725 -3.102  13.357 -3.877
  10.837 -0.771  11.475 -1.541  12.112 -2.312  12.750 -3.082  13.387 -3.853
  10.843 -0.765  11.487 -1.531  12.130 -2.296  12.774 -3.062  13.417 -3.827
  10.849 -0.760  11.499 -1.521  12.148 -2.281  12.798 -3.042  13.447 -3.802
  10.855 -0.755  11.511 -1.511  12.166 -2.266  12.822 -3.021  13.477 -3.776
  10.861 -0.750  11.523 -1.500  12.184 -2.250  12.845 -3.000  13.507 -3.751
  10.867 -0.745  11.534 -1.490  12.202 -2.235  12.869 -2.980  13.536 -3.724
  10.873 -0.740  11.546 -1.479  12.219 -2.219  12.892 -2.959  13.565 -3.698
  10.879 -0.734  11.558 -1.469  12.236 -2.203  12.915 -2.937  13.594 -3.672
  10.885 -0.729  11.569 -1.458  12.254 -2.187  12.938 -2.916  13.623 -3.645
  10.890 -0.724  11.581 -1.447  12.271 -2.171  12.961 -2.894  13.651 -3.618
  10.896 -0.718  11.592 -1.436  12.288 -2.154  12.984 -2.873  13.680 -3.591
  10.902 -0.713  11.603 -1.425  12.305 -2.138  13.006 -2.851  13.708 -3.563
  10.907 -0.707  11.614 -1.414  12.321 -2.121  13.028 -2.828  13.736 -3.536
  10.913 -0.702  11.625 -1.403  12.338 -2.105  13.051 -2.806  13.763 -3.508
  10.918 -0.696  11.636 -1.392  12.354 -2.088  13.073 -2.784  13.791 -3.480
  10.924 -0.690  11.647 -1.381  12.371 -2.071  13.094 -2.761  13.818 -3.451
  10.929 -0.685  11.658 -1.369  12.387 -2.054  13.116 -2.738  13.845 -3.423
  10.934 -0.679  11.669 -1.358  12.403 -2.036  13.137 -2.715  13.872 -3.394
  10.940 -0.673  11.679 -1.346  12.419 -2.019  13.159 -2.692  13.898 -3.365
  10.945 -0.667  11.690 -1.334  12.435 -2.002  13.180 -2.669  13.924 -3.336
  10.950 -0.661  11.700 -1.323  12.450 -1.984  13.200 -2.645  13.951 -3.307
  10.955 -0.655  11.711 -1.311  12.466 -1.966  13.221 -2.622  13.976 -3.277
  10.960 -0.649  11.721 -1.299  12.481 -1.948  13.242 -2.598  14.002 -3.247
  10.965 -0.643  11.731 -1.287  12.496 -1.930  13.262 -2.574  14.027 -3.217
  10.971 -0.637  11.741 -1.275  12.512 -1.912  13.282 -2.550  14.053 -3.187
  10.975 -0.631  11.751 -1.263  12.526 -1.894  13.302 -2.525  14.077 -3.157
  10.980 -0.625  11.761 -1.250  12.541 -1.876  13.322 -2.501  14.102 -3.126
  10.985 -0.619  11.771 -1.238  12.556 -1.857  13.341 -2.476  14.127 -3.095
  10.990 -0.613  11.780 -1.226  12.570 -1.839  13.361 -2.452  14.151 -3.065
  10.995 -0.607  11.790 -1.213  12.585 -1.820  13.380 -2.427  14.175 -3.033
  11.000 -0.600  11.799 -1.201  12.599 -1.801  13.399 -2.402  14.198 -3.002
  11.004 -0.594  11.809 -1.188  12.613 -1.782  13.418 -2.376  14.222 -2.971
  11.009 -0.588  11.818 -1.176  12.627 -1.763  13.436 -2.351  14.245 -2.939
  11.014 -0.581  11.827 -1.163  12.641 -1.744  13.454 -2.326  14.268 -2.907
  11.018 -0.575  11.836 -1.150  12.654 -1.725  13.473 -2.300  14.291 -2.875
  11.023 -0.569  11.845 -1.137  12.668 -1.706  13.491 -2.274  14.313 -2.843
  11.027 -0.562  11.854 -1.124  12.681 -1.686  13.508 -2.248  14.335 -2.810
  11.031 -0.556  11.863 -1.111  12.694 -1.667  13.526 -2.222  14.357 -2.778
  11.036 -0.549  11.872 -1.098  12.707 -1.647  13.543 -2.196  14.379 -2.745
  11.040 -0.542  11.880 -1.085  12.720 -1.627  13.560 -2.170  14.400 -2.712
  11.044 -0.536  11.889 -1.072  12.733 -1.607  13.577 -2.143  14.422 -2.679
  11.049 -0.529  11.897 -1.058  12.746 -1.588  13.594 -2.117  14.443 -2.646
  11.053 -0.522  11.905 -1.045  12.758 -1.567  13.611 -2.090  14.463 -2.612
  11.057 -0.516  11.913 -1.032  12.770 -1.547  13.627 -2.063  14.484 -2.579
  11.061 -0.509  11.921 -1.018  12.782 -1.527  13.643 -2.036  14.504 -2.545
  11.065 -0.502  11.929 -1.005  12.794 -1.507  13.659 -2.009  14.524 -2.511
  11.069 -0.495  11.937 -0.991  12.806 -1.486  13.675 -1.982  14.543 -2.477
  11.072 -0.489  11.945 -0.977  12.817 -1.466  13.690 -1.954  14.562 -2.443
  11.076 -0.482  11.953 -0.964  12.829 -1.445  13.705 -1.927  14.582 -2.409
  11.080 -0.475  11.960 -0.950  12.840 -1.425  13.720 -1.899  14.600 -2.374
  11.084 -0.468  11.968 -0.936  12.851 -1.404  13.735 -1.872  14.619 -2.340
  11.087 -0.461  11.975 -0.922  12.862 -1.383  13.750 -1.844  14.637 -2.305
  11.091 -0.454  11.982 -0.908  12.873 -1.362  13.764 -1.816  14.655 -2.270
  11.095 -0.447  11.989 -0.894  12.884 -1.341  13.778 -1.788  14.673 -2.235
  11.098 -0.440  11.996 -0.880  12.894 -1.320  13.792 -1.760  14.690 -2.200
  11.101 -0.433  12.003 -0.866  12.904 -1.299  13.806 -1.731  14.707 -2.164
  11.105 -0.426  12.010 -0.852  12.914 -1.277  13.819 -1.703  14.724 -2.129
  11.108 -0.419  12.016 -0.837  12.924 -1.256  13.833 -1.675  14.741 -2.093
  11.111 -0.412  12.023 -0.823  12.934 -1.235  13.846 -1.646  14.757 -2.058
  11.115 -0.404  12.029 -0.809  12.944 -1.213  13.858 -1.617  14.773 -2.022
  11.118 -0.397  12.036 -0.794  12.953 -1.191  13.871 -1.589  14.789 -1.986
  11.121 -0.390  12.042 -0.780  12.963 -1.170  13.883 -1.560  14.804 -1.950
  11.124 -0.383  12.048 -0.765  12.972 -1.148  13.896 -1.531  14.819 -1.913
  11.127 -0.375  12.054 -0.751  12.981 -1.126  13.907 -1.502  14.834 -1.877
  11.130 -0.368  12.060 -0.736  12.989 -1.104  13.919 -1.472  14.849 -1.841
  11.133 -0.361  12.065 -0.722  12.998 -1.082  13.931 -1.443  14.863 -1.804
  11.135 -0.353  12.071 -0.707  13.006 -1.060  13.942 -1.414  14.877 -1.767
  11.138 -0.346  12.076 -0.692  13.015 -1.038  13.953 -1.384  14.891 -1.731
  11.141 -0.339  12.082 -0.677  13.023 -1.016  13.964 -1.355  14.904 -1.694
  11.144 -0.331  12.087 -0.663  13.031 -0.994  13.974 -1.325  14.918 -1.657
  11.146 -0.324  12.092 -0.648  13.038 -0.972  13.984 -1.296  14.930 -1.620
  11.149 -0.316  12.097 -0.633  13.046 -0.949  13.994 -1.266  14.943 -1.582
  11.151 -0.309  12.102 -0.618  13.053 -0.927  14.004 -1.236  14.955 -1.545
  11.153 -0.302  12.107 -0.603  13.060 -0.905  14.014 -1.206  14.967 -1.508
  11.156 -0.294  12.112 -0.588  13.067 -0.882  14.023 -1.176  14.979 -1.470
  11.158 -0.287  12.116 -0.573  13.074 -0.860  14.032 -1.146  14.990 -1.433
  11.160 -0.279  12.121 -0.558  13.081 -0.837  14.041 -1.116  15.001 -1.395
  11.162 -0.271  12.125 -0.543  13.087 -0.814  14.050 -1.086  15.012 -1.357
  11.165 -0.264  12.129 -0.528  13.094 -0.792  14.058 -1.055  15.023 -1.319
  11.167 -0.256  12.133 -0.513  13.100 -0.769  14.066 -1.025  15.033 -1.281
  11.169 -0.249  12.137 -0.497  13.106 -0.746  14.074 -0.995  15.043 -1.243
  11.171 -0.241  12.141 -0.482  13.112 -0.723  14.082 -0.964  15.053 -1.205
  11.172 -0.233  12.145 -0.467  13.117 -0.700  14.089 -0.934  15.062 -1.167
  11.174 -0.226  12.148 -0.452  13.123 -0.677  14.097 -0.903  15.071 -1.129
  11.176 -0.218  12.152 -0.436  13.128 -0.654  14.104 -0.873  15.080 -1.091
  11.178 -0.210  12.155 -0.421  13.133 -0.631  14.110 -0.842  15.088 -1.052
  11.179 -0.203  12.158 -0.406  13.138 -0.608  14.117 -0.811  15.096 -1.014
  11.181 -0.195  12.162 -0.390  13.142 -0.585  14.123 -0.780  15.104 -0.975
  11.182 -0.187  12.165 -0.375  13.147 -0.562  14.129 -0.750  15.111 -0.937
  11.184 -0.180  12.167 -0.359  13.151 -0.539  14.135 -0.719  15.119 -0.898
  11.185 -0.172  12.170 -0.344  13.155 -0.516  14.140 -0.688  15.126 -0.860
  11.186 -0.164  12.173 -0.328  13.159 -0.493  14.146 -0.657  15.132 -0.821
  11.188 -0.156  12.175 -0.313  13.163 -0.469  14.151 -0.626  15.138 -0.782
  11.189 -0.149  12.178 -0.297  13.167 -0.446  14.156 -0.595  15.144 -0.743
  11.190 -0.141  12.180 -0.282  13.170 -0.423  14.160 -0.564  15.150 -0.705
  11.191 -0.133  12.182 -0.266  13.173 -0.399  14.164 -0.532  15.155 -0.666
  11.192 -0.125  12.184 -0.251  13.176 -0.376  14.168 -0.501  15.161 -0.627
  11.193 -0.118  12.186 -0.235  13.179 -0.353  14.172 -0.470  15.165 -0.588
  11.194 -0.110  12.188 -0.219  13.182 -0.329  14.176 -0.439  15.170 -0.549
  11.195 -0.102  12.190 -0.204  13.184 -0.306  14.179 -0.408  15.174 -0.510
  11.196 -0.094  12.191 -0.188  13.187 -0.282  14.182 -0.376  15.178 -0.471
  11.196 -0.086  12.193 -0.173  13.189 -0.259  14.185 -0.345  15.181 -0.431
  11.197 -0.078  12.194 -0.157  13.191 -0.235  14.188 -0.314  15.185 -0.392
  11.198 -0.071  12.195 -0.141  13.193 -0.212  14.190 -0.283  15.188 -0.353
  11.198 -0.063  12.196 -0.126  13.194 -0.188  14.192 -0.251  15.190 -0.314
  11.198 -0.055  12.197 -0.110  13.195 -0.165  14.194 -0.220  15.192 -0.275
  11.199 -0.047  12.198 -0.094  13.197 -0.141  14.196 -0.188  15.194 -0.236
  11.199 -0.039  12.198 -0.079  13.198 -0.118  14.197 -0.157  15.196 -0.196
  11.200 -0.031  12.199 -0.063  13.199 -0.094  14.198 -0.126  15.198 -0.157
  11.200 -0.024  12.199 -0.047  13.199 -0.071  14.199 -0.094  15.199 -0.118
  11.200 -0.016  12.200 -0.031  13.200 -0.047  14.200 -0.063  15.199 -0.079
