  10.819  3.785  11.438  4.571  12.057  5.356  12.676  6.141  13.295  6.927
  10.813  3.790  11.426  4.580  12.039  5.370  12.652  6.161  13.265  6.951
  10.807  3.795  11.413  4.590  12.020  5.385  12.627  6.180  13.233  6.975
  10.800  3.800  11.401  4.599  12.001  5.399  12.602  6.199  13.202  6.998
  10.794  3.804  11.388  4.609  11.982  5.413  12.576  6.218  13.171  7.022
  10.788  3.809  11.376  4.618  11.963  5.427  12.551  6.236  13.139  7.045
  10.781  3.814  11.363  4.627  11.944  5.441  12.526  6.254  13.107  7.068
  10.775  3.818  11.350  4.636  11.925  5.454  12.500  6.273  13.075  7.091
  10.769  3.823  11.337  4.645  11.906  5.468  12.474  6.291  13.043  7.113
  10.762  3.827  11.324  4.654  11.886  5.481  12.448  6.308  13.010  7.135
  10.756  3.831  11.311  4.663  11.867  5.494  12.422  6.326  12.978  7.157
  10.749  3.836  11.298  4.672  11.847  5.507  12.396  6.343  12.945  7.179
  10.742  3.840  11.285  4.680  11.827  5.520  12.370  6.360  12.912  7.200
  10.736  3.844  11.272  4.689  11.807  5.533  12.343  6.377  12.879  7.222
  10.729  3.849  11.258  4.697  11.788  5.546  12.317  6.394  12.846  7.243
  10.722  3.853  11.245  4.705  11.767  5.558  12.290  6.411  12.812  7.263
  10.716  3.857  11.232  4.713  11.747  5.570  12.263  6.427  12.779  7.284
  10.709  3.861  11.218  4.721  11.727  5.582  12.236  6.443  12.745  7.304
  10.702  3.865  11.205  4.729  11.707  5.594  12.209  6.459  12.711  7.324
  10.695  3.869  11.191  4.737  11.686  5.606  12.182  6.475  12.677  7.343
  10.689  3.872  11.177  4.745  11.666  5.617  12.154  6.490  12.643  7.362
  10.682  3.876  11.164  4.753  11.645  5.629  12.127  6.505  12.609  7.382
  10.675  3.880  11.150  4.760  11.625  5.640  12.099  6.520  12.574  7.400
  10.668  3.884  11.136  4.768  11.604  5.651  12.072  6.535  12.540  7.419
  10.661  3.887  11.122  4.775  11.583  5.662  12.044  6.550  12.505  7.437
  10.654  3.891  11.108  4.782  11.562  5.673  12.016  6.564  12.470  7.455
  10.647  3.895  11.094  4.789  11.541  5.684  11.988  6.578  12.435  7.473
  10.640  3.898  11.080  4.796  11.520  5.694  11.960  6.592  12.400  7.490
  10.633  3.901  11.066  4.803  11.499  5.704  11.931  6.606  12.364  7.507
  10.626  3.905  11.052  4.810  11.477  5.714  11.903  6.619  12.329  7.524
  10.619  3.908  11.037  4.816  11.456  5.724  11.875  6.633  12.293  7.541
  10.612  3.911  11.023  4.823  11.435  5.734  11.846  6.646  12.258  7.557
  10.604  3.915  11.009  4.829  11.413  5.744  11.817  6.658  12.222  7.573
  10.597  3.918  10.994  4.836  11.391  5.753  11.789  6.671  12.186  7.589
  10.590  3.921  10.980  4.842  11.370  5.763  11.760  6.683  12.150  7.604
  10.583  3.924  10.965  4.848  11.348  5.772  11.731  6.696  12.113  7.619
  10.575  3.927  10.951  4.854  11.326  5.781  11.702  6.707  12.077  7.634
  10.568  3.930  10.936  4.860  11.304  5.789  11.672  6.719  12.041  7.649
  10.561  3.933  10.922  4.865  11.282  5.798  11.643  6.731  12.004  7.663
  10.553  3.935  10.907  4.871  11.260  5.806  11.614  6.742  11.967  7.677
  10.546  3.938  10.892  4.876  11.238  5.815  11.584  6.753  11.931  7.691
  10.539  3.941  10.877  4.882  11.216  5.823  11.555  6.764  11.894  7.704
  10.531  3.944  10.863  4.887  11.194  5.831  11.525  6.774  11.857  7.718
  10.524  3.946  10.848  4.892  11.172  5.838  11.496  6.784  11.820  7.730
  10.516  3.949  10.833  4.897  11.149  5.846  11.466  6.794  11.782  7.743
  10.509  3.951  10.818  4.902  11.127  5.853  11.436  6.804  11.745  7.755
  10.502  3.953  10.803  4.907  11.105  5.860  11.406  6.814  11.708  7.767
  10.494  3.956  10.788  4.912  11.082  5.867  11.376  6.823  11.670  7.779
  10.487  3.958  10.773  4.916  11.060  5.874  11.346  6.832  11.633  7.790
  10.479  3.960  10.758  4.921  11.037  5.881  11.316  6.841  11.595  7.801
  10.471  3.962  10.743  4.925  11.014  5.887  11.286  6.850  11.557  7.812
  10.464  3.965  10.728  4.929  10.992  5.894  11.255  6.858  11.519  7.823
  10.456  3.967  10.713  4.933  10.969  5.900  11.225  6.866  11.481  7.833
  10.449  3.969  10.697  4.937  10.946  5.906  11.195  6.874  11.443  7.843
  10.441  3.971  10.682  4.941  10.923  5.912  11.164  6.882  11.405  7.853
  10.433  3.972  10.667  4.945  10.900  5.917  11.134  6.889  11.367  7.862
  10.426  3.974  10.652  4.948  10.877  5.923  11.103  6.897  11.329  7.871
  10.418  3.976  10.636  4.952  10.854  5.928  11.073  6.904  11.291  7.880
  10.410  3.978  10.621  4.955  10.831  5.933  11.042  6.910  11.252  7.888
  10.403  3.979  10.606  4.958  10.808  5.938  11.011  6.917  11.214  7.896
  10.395  3.981  10.590  4.962  10.785  5.942  10.980  6.923  11.175  7.904
  10.387  3.982  10.575  4.965  10.762  5.947  10.950  6.929  11.137  7.911
  10.380  3.984  10.559  4.967  10.739  5.951  10.919  6.935  11.098  7.919
  10.372  3.985  10.544  4.970  10.716  5.955  10.888  6.940  11.060  7.926
  10.364  3.986  10.528  4.973  10.693  5.959  10.857  6.946  11.021  7.932
  10.356  3.988  10.513  4.975  10.669  5.963  10.826  6.951  10.982  7.938
  10.349  3.989  10.497  4.978  10.646  5.967  10.795  6.956  10.943  7.944
  10.341  3.990  10.482  4.980  10.623  5.970  10.764  6.960  10.905  7.950
  10.333  3.991  10.466  4.982  10.599  5.973  10.732  6.964  10.866  7.955
  10.325  3.992  10.451  4.984  10.576  5.976  10.701  6.968  10.827  7.961
  10.318  3.993  10.435  4.986  10.553  5.979  10.670  6.972  10.788  7.965
  10.310  3.994  10.419  4.988  10.529  5.982  10.639  6.976  10.749  7.970
  10.302  3.995  10.404  4.990  10.506  5.984  10.608  6.979  10.710  7.974
  10.294  3.996  10.388  4.991  10.482  5.987  10.576  6.982  10.671  7.978
  10.286  3.996  10.373  4.993  10.459  5.989  10.545  6.985  10.631  7.981
  10.278  3.997  10.357  4.994  10.435  5.991  10.514  6.988  10.592  7.985
  10.271  3.998  10.341  4.995  10.412  5.993  10.483  6.990  10.553  7.988
  10.263  3.998  10.326  4.996  10.388  5.994  10.451  6.992  10.514  7.990
  10.255  3.998  10.310  4.997  10.365  5.995  10.420  6.994  10.475  7.992
  10.247  3.999  10.294  4.998  10.341  5.997  10.388  6.996  10.436  7.994
  10.239  3.999  10.279  4.998  10.318  5.998  10.357  6.997  10.396  7.996
  10.231  4.000  10.263  4.999  10.294  5.999  10.326  6.998  10.357  7.998
  10.224  4.000  10.247  4.999  10.271  5.999  10.294  6.999  10.318  7.999
  10.216  4.000  10.231  5.000  10.247  6.000  10.263  7.000  10.279  7.999
  10.208  4.000  10.216  5.000  10.224  6.000  10.231  7.000  10.239  8.000
  10.200  4.000  10.200  5.000  10.200  6.000  10.200  7.000  10.200  8.000
